#options: 852x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:90 out:90 type:P dur:2 cpbdur:2 q:23.20 aq:17.32 tex:527 mv:235 misc:566 imb:2 pmb:59 smb:1559 d:- ref:0 ;
in:91 out:91 type:P dur:2 cpbdur:2 q:23.05 aq:18.15 tex:36776 mv:11098 misc:1758 imb:186 pmb:1170 smb:264 d:- ref:0 ;
in:92 out:92 type:P dur:2 cpbdur:2 q:23.25 aq:18.15 tex:88269 mv:14508 misc:1711 imb:297 pmb:1254 smb:69 d:- ref:0 ;
in:93 out:93 type:P dur:2 cpbdur:2 q:23.40 aq:16.95 tex:112961 mv:15655 misc:1704 imb:289 pmb:1297 smb:34 d:- ref:0 ;
in:94 out:94 type:P dur:2 cpbdur:2 q:23.36 aq:16.51 tex:2862 mv:1092 misc:1094 imb:8 pmb:224 smb:1388 d:- ref:0 ;
in:95 out:95 type:P dur:2 cpbdur:2 q:23.29 aq:16.88 tex:858 mv:287 misc:607 imb:3 pmb:75 smb:1542 d:- ref:0 ;
in:96 out:96 type:P dur:2 cpbdur:2 q:23.10 aq:17.69 tex:551 mv:131 misc:342 imb:2 pmb:29 smb:1589 d:- ref:0 ;
in:97 out:97 type:P dur:2 cpbdur:2 q:23.37 aq:20.46 tex:63039 mv:13529 misc:1736 imb:329 pmb:1135 smb:156 d:- ref:0 ;
in:98 out:98 type:P dur:2 cpbdur:2 q:23.22 aq:19.97 tex:237350 mv:18963 misc:1687 imb:1259 pmb:361 smb:0 d:- ref:0 ;
in:99 out:99 type:P dur:2 cpbdur:2 q:23.44 aq:20.55 tex:179976 mv:19520 misc:1688 imb:916 pmb:704 smb:0 d:- ref:0 ;
in:100 out:100 type:P dur:2 cpbdur:2 q:23.35 aq:20.60 tex:183771 mv:20238 misc:1687 imb:983 pmb:636 smb:1 d:- ref:0 ;
in:101 out:101 type:I dur:2 cpbdur:2 q:19.74 aq:16.75 tex:192068 mv:56450 misc:74 imb:1620 pmb:0 smb:0 d:- ref:;
in:102 out:102 type:P dur:2 cpbdur:2 q:23.77 aq:20.23 tex:164029 mv:19107 misc:1688 imb:1131 pmb:489 smb:0 d:- ref:0 ;
in:103 out:103 type:P dur:2 cpbdur:2 q:23.74 aq:17.86 tex:194193 mv:18593 misc:1686 imb:1186 pmb:433 smb:1 d:- ref:0 ;
in:104 out:104 type:P dur:2 cpbdur:2 q:23.69 aq:18.49 tex:96803 mv:13410 misc:1723 imb:349 pmb:896 smb:375 d:- ref:0 ;
in:105 out:105 type:P dur:2 cpbdur:2 q:23.58 aq:18.27 tex:69543 mv:12869 misc:1772 imb:267 pmb:947 smb:406 d:- ref:0 ;
in:106 out:106 type:P dur:2 cpbdur:2 q:23.53 aq:18.63 tex:64667 mv:13149 misc:1752 imb:271 pmb:965 smb:384 d:- ref:0 ;
in:107 out:107 type:P dur:2 cpbdur:2 q:23.56 aq:19.70 tex:109095 mv:14375 misc:1762 imb:378 pmb:915 smb:327 d:- ref:0 ;
in:108 out:108 type:P dur:2 cpbdur:2 q:23.73 aq:20.00 tex:139537 mv:15518 misc:1745 imb:404 pmb:948 smb:268 d:- ref:0 ;
in:109 out:109 type:P dur:2 cpbdur:2 q:23.72 aq:20.21 tex:152773 mv:15461 misc:1742 imb:376 pmb:949 smb:295 d:- ref:0 ;
in:110 out:110 type:P dur:2 cpbdur:2 q:23.65 aq:20.01 tex:161063 mv:14708 misc:1757 imb:327 pmb:986 smb:307 d:- ref:0 ;
in:111 out:111 type:P dur:2 cpbdur:2 q:23.56 aq:20.13 tex:126052 mv:13610 misc:1722 imb:233 pmb:1028 smb:359 d:- ref:0 ;
in:112 out:112 type:P dur:2 cpbdur:2 q:23.61 aq:19.49 tex:149236 mv:14948 misc:1712 imb:251 pmb:1102 smb:267 d:- ref:0 ;
in:113 out:113 type:P dur:2 cpbdur:2 q:24.07 aq:20.17 tex:98429 mv:12030 misc:1693 imb:154 pmb:1056 smb:410 d:- ref:0 ;
in:114 out:114 type:P dur:2 cpbdur:2 q:24.42 aq:20.83 tex:105321 mv:11659 misc:1700 imb:169 pmb:1047 smb:404 d:- ref:0 ;
in:115 out:115 type:P dur:2 cpbdur:2 q:24.77 aq:21.02 tex:99740 mv:10854 misc:1694 imb:153 pmb:990 smb:477 d:- ref:0 ;
in:116 out:116 type:P dur:2 cpbdur:2 q:24.95 aq:21.20 tex:97135 mv:10902 misc:1715 imb:186 pmb:1018 smb:416 d:- ref:0 ;
in:117 out:117 type:P dur:2 cpbdur:2 q:25.22 aq:21.14 tex:76327 mv:10197 misc:1724 imb:158 pmb:1001 smb:461 d:- ref:0 ;
in:118 out:118 type:P dur:2 cpbdur:2 q:25.53 aq:22.02 tex:86117 mv:9859 misc:1680 imb:124 pmb:957 smb:539 d:- ref:0 ;
in:119 out:119 type:P dur:2 cpbdur:2 q:25.67 aq:21.68 tex:78258 mv:10285 misc:1689 imb:117 pmb:989 smb:514 d:- ref:0 ;
in:120 out:120 type:P dur:2 cpbdur:2 q:25.75 aq:22.81 tex:76941 mv:8899 misc:1664 imb:114 pmb:943 smb:563 d:- ref:0 ;
in:121 out:121 type:P dur:2 cpbdur:2 q:25.80 aq:22.36 tex:71191 mv:9088 misc:1681 imb:99 pmb:934 smb:587 d:- ref:0 ;
in:122 out:122 type:P dur:2 cpbdur:2 q:25.88 aq:22.63 tex:76393 mv:9411 misc:1684 imb:123 pmb:963 smb:534 d:- ref:0 ;
in:123 out:123 type:P dur:2 cpbdur:2 q:25.99 aq:22.77 tex:66134 mv:8667 misc:1687 imb:129 pmb:931 smb:560 d:- ref:0 ;
in:124 out:124 type:P dur:2 cpbdur:2 q:26.17 aq:22.98 tex:80246 mv:9271 misc:1683 imb:131 pmb:951 smb:538 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:26.38 aq:23.33 tex:64437 mv:7953 misc:1602 imb:106 pmb:847 smb:667 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:26.54 aq:23.52 tex:67279 mv:8187 misc:1670 imb:97 pmb:909 smb:614 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:26.68 aq:23.25 tex:79608 mv:9003 misc:1677 imb:122 pmb:887 smb:611 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:26.72 aq:22.62 tex:68820 mv:8766 misc:1710 imb:124 pmb:946 smb:550 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:26.75 aq:23.48 tex:48573 mv:7118 misc:1701 imb:69 pmb:890 smb:661 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:26.77 aq:23.49 tex:76329 mv:9143 misc:1696 imb:115 pmb:975 smb:530 d:- ref:0 ;
in:131 out:131 type:P dur:2 cpbdur:2 q:26.81 aq:23.96 tex:58356 mv:8483 misc:1713 imb:85 pmb:973 smb:562 d:- ref:0 ;
in:132 out:132 type:P dur:2 cpbdur:2 q:26.80 aq:24.16 tex:54287 mv:8278 misc:1699 imb:68 pmb:984 smb:568 d:- ref:0 ;
in:133 out:133 type:P dur:2 cpbdur:2 q:26.81 aq:23.87 tex:68230 mv:8902 misc:1716 imb:90 pmb:994 smb:536 d:- ref:0 ;
in:134 out:134 type:P dur:2 cpbdur:2 q:26.83 aq:23.82 tex:79393 mv:9540 misc:1731 imb:112 pmb:1010 smb:498 d:- ref:0 ;
in:135 out:135 type:P dur:2 cpbdur:2 q:26.87 aq:23.75 tex:94498 mv:9985 misc:1733 imb:161 pmb:959 smb:500 d:- ref:0 ;
in:136 out:136 type:P dur:2 cpbdur:2 q:26.91 aq:23.34 tex:93380 mv:10342 misc:1766 imb:183 pmb:1060 smb:377 d:- ref:0 ;
in:137 out:137 type:P dur:2 cpbdur:2 q:26.95 aq:23.57 tex:57172 mv:8217 misc:1747 imb:56 pmb:1049 smb:515 d:- ref:0 ;
in:138 out:138 type:P dur:2 cpbdur:2 q:26.96 aq:24.09 tex:50791 mv:7652 misc:1765 imb:38 pmb:1010 smb:572 d:- ref:0 ;
in:139 out:139 type:P dur:2 cpbdur:2 q:26.98 aq:23.75 tex:68809 mv:8343 misc:1768 imb:79 pmb:1045 smb:496 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:26.97 aq:23.97 tex:62062 mv:8725 misc:1741 imb:75 pmb:1083 smb:462 d:- ref:0 ;
in:141 out:141 type:P dur:2 cpbdur:2 q:26.99 aq:23.66 tex:57504 mv:8453 misc:1763 imb:64 pmb:1089 smb:467 d:- ref:0 ;
in:142 out:142 type:P dur:2 cpbdur:2 q:27.02 aq:23.66 tex:80347 mv:9263 misc:1766 imb:82 pmb:1075 smb:463 d:- ref:0 ;
in:143 out:143 type:P dur:2 cpbdur:2 q:27.06 aq:24.11 tex:49180 mv:7573 misc:1759 imb:57 pmb:1019 smb:544 d:- ref:0 ;
in:144 out:144 type:P dur:2 cpbdur:2 q:27.04 aq:23.87 tex:69633 mv:8818 misc:1781 imb:109 pmb:1054 smb:457 d:- ref:0 ;
in:145 out:145 type:P dur:2 cpbdur:2 q:27.07 aq:23.78 tex:106855 mv:11168 misc:1745 imb:157 pmb:1044 smb:419 d:- ref:0 ;
in:146 out:146 type:P dur:2 cpbdur:2 q:27.10 aq:23.90 tex:54577 mv:7601 misc:1758 imb:55 pmb:1061 smb:504 d:- ref:0 ;
in:147 out:147 type:P dur:2 cpbdur:2 q:27.10 aq:24.22 tex:54489 mv:6904 misc:1775 imb:51 pmb:978 smb:591 d:- ref:0 ;
